3,1460,31
4,1567,27
5,1665,39
6,1670,37
7,1563,35
1,1635,20
2,1590,34
3,1610,36
4,1505,42
5,1585,46
6,1590,37
7,1690,35
1,1620,42
2,1705,40
3,2210,42
4,1546,34
5,2020,43
6,1595,40
7,1740,65
1,2030,53
2,1633,45
3,2125,40
4,1760,39
5,1970,36
6,1560,33
7,1695,56
1,1920,62
2,1330,27
3,1025,10
4,754,7
5,666,6
6,627,4
7,664,5
1,633,6
2,630,9
3,630,3
4,619,4
5,617,5
6,584,5
7,587,4
1,630,5
2,646,6
3,615,4
4,595,5
5,732,8
6,574,7
7,514,24
1,657,12
2,583,10
3,576,7
4,560,5
5,574,4
6,604,3
7,576,4
1,533,5
2,574,2
3,590,1
4,560,2
5,619,2
6,556,4
7,523,2
1,532,3
2,542,4
3,761,6
4,1455,18
5,1645,37
6,1650,39
7,1560,36
1,1910,41
2,1825,39
3,1851,41
4,1765,37
5,1690,38
6,1705,42
7,1610,38
1,1724,41
2,1700,40
3,1774,39
4,1703,38
5,1675,40
6,1470,37
7,1586,42
1,1720,55
2,1668,38
3,1799,40
4,1662,39
5,1380,47
6,1533,35
7,1515,52
1,1750,49
2,1720,42
3,1720,40
4,1635,36
5,1682,40
6,1605,35
7,1530,40
1,1625,38
2,1604,41
3,1585,35
4,2198,48
5,1753,44
6,1720,35
7,1380,42
1,1620,40
2,1560,39
3,1748,39
4,1480,36
5,1490,35
6,1280,28
7,1380,33
1,1540,38
2,1590,40
3,1490,36
4,1580,42
5,1580,40
6,1625,41
7,1535,47
1,1595,40
2,1703,36
3,1701,42
