3,1145,3
4,1515,4
5,1355,5
6,1064,4
7,1166,3
1,1616,4
2,1430,3
3,1448,5
4,1284,4
5,1120,3
6,1134,4
7,1080,2
1,1600,4
2,1046,1
3,1149,3
4,1052,2
5,937,4
6,1078,3
7,1092,1
1,856,4
2,1166,2
3,1183,3
4,1061,4
5,853,3
6,960,2
7,1000,3
1,722,3
2,720,2
3,548,1
4,474,1
5,426,1
6,419,1
7,400,1
1,444,1
2,415,1
3,430,1
4,421,1
5,373,1
6,375,1
7,398,1
1,412,1
2,426,1
3,418,1
4,430,1
5,366,1
6,367,1
7,368,2
1,348,1
2,370,1
3,370,1
4,365,1
5,364,1
6,375,2
7,376,2
1,365,1
2,370,2
3,373,1
4,370,3
5,343,1
6,344,1
7,344,3
1,338,1
2,353,1
3,520,2
4,1195,4
5,1252,12
6,870,5
7,860,3
1,1245,4
2,1460,2
3,1520,4
4,1380,2
5,1297,4
6,880,7
7,962,2
1,1252,6
2,1400,3
3,1370,3
4,1460,4
5,1276,2
6,887,5
7,952,2
1,1260,6
2,1425,2
3,1530,4
4,1320,5
5,1160,4
6,978,4
7,970,1
1,1322,5
2,1410,2
3,1560,3
4,1401,3
5,1270,5
6,1040,4
7,970,3
1,1172,4
2,1424,3
3,1354,6
4,1162,4
5,970,5
6,910,3
7,910,2
1,1124,4
2,1360,5
3,1540,6
4,950,1
5,1026,4
6,840,6
7,825,2
1,1147,5
2,1316,3
3,1190,4
4,1336,5
5,1210,4
6,930,3
7,874,1
1,1210,4
2,1405,1
3,1498,3
