3,2263,131
4,2062,107
5,2198,120
6,1548,56
7,2352,75
1,2369,65
2,1923,80
3,2434,145
4,2098,91
5,2083,119
6,1655,59
7,2263,135
1,2303,133
2,1609,25
3,2883,162
4,1814,88
5,2145,122
6,1726,75
7,2226,105
1,2312,136
2,1694,103
3,2437,113
4,1763,80
5,1753,85
6,1424,50
7,2180,122
1,1403,59
2,943,26
3,830,11
4,733,9
5,686,10
6,637,9
7,743,9
1,735,8
2,659,9
3,730,10
4,691,12
5,660,11
6,595,8
7,694,13
1,693,19
2,637,15
3,686,5
4,671,9
5,681,11
6,536,13
7,560,50
1,565,8
2,587,10
3,594,12
4,616,14
5,628,10
6,574,9
7,616,12
1,595,10
2,593,9
3,608,8
4,602,8
5,627,8
6,540,10
7,552,9
1,584,4
2,579,6
3,1089,31
4,1631,78
5,2010,125
6,1525,56
7,2056,136
1,2313,150
2,1739,75
3,2366,143
4,2077,106
5,2047,119
6,1408,55
7,1980,126
1,2135,134
2,1739,89
3,2405,127
4,1954,97
5,1988,90
6,937,48
7,2046,139
1,2334,135
2,1679,77
3,2256,115
4,1763,79
5,1773,88
6,1402,55
7,2120,133
1,2326,141
2,1656,60
3,2558,200
4,1911,110
5,1975,121
6,1310,58
7,2104,72
1,2205,98
2,1613,84
3,2170,107
4,1871,81
5,1954,105
6,947,37
7,1857,121
1,2231,145
2,1641,70
3,1939,115
4,1820,107
5,1770,116
6,1195,68
7,1785,117
1,2141,138
2,1655,67
3,2186,89
4,1941,97
5,1932,109
6,1275,64
7,1996,121
1,2285,145
2,1519,62
3,2445,160
